"colName","description","units","dataType","varName","sensorMakeModel","methodName","methodNotes","methodDOI","depthTopM","depthBottomM","depthHeight","zeroRef","notes"
"timestamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plt_name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"depth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soilT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA





