exp_name,sit_name,sit_lat,sit_long,datum,elevation,MAT,MAP,biome,leafPheno,species,landscape_position,slope,soil_drainage,soil_taxon_sys,soil_taxon,parent_material
Sanming,Sanming Forest Ecosystem National Observation and Research Station (SME),26.16990675,117.4691956,,250,19.3,1638,subtropical forest,,Castanopsis kawakamii,,,well drained,USDA,Ultisols,sedimentary (sandstone)
,,,,,,,,,,,,,,,,





















