"colName","description","units","dataType","sensorMakeModel","methodName","methodNotes","methodDOI","depthTopM","depthBottomM","depthHeight","zeroRef","notes"
"exp_name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sit_name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plt_name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plt_block",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"depth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soilTemp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA















































