"colName","description","units","dataType","sensorMakeModel","methodName","methodNotes","methodDOI","depthTopM","depthBottomM","depthHeight","zeroRef","notes"
"#",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date Time, GMT -0400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Temp, °F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RH, %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DewPt, °F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA





