colName,description,unit,dataType,varName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
depth,depth of measurement,cm,numeric,depth,,,,,,,depth,
time,date of measurement,yyyy-mm-dd,date,timestamp,,,,,,,,
plot,plot ID,,string,plot,,,,,,,,
temp,soil temperature,deg C,numeric,soil temperature,,,,,,,,
