"","exp_name","heat_levels","heat_duration","heat_mtd_aboveGround","heat_mtd_belowGround","treatment_add_name","treatment_add_levels","treatment_add_units","treatment_add_date_i","treatment_add_date_f","sensors","heat_BG_date_i","heat_BG_date_f","heat_AG_date_i","heat_AG_date_f","heat_BG_cable_depth","heat_BG_rod_depth","heat_BG_pwr","heat_BG_sensor_depths","heat_AG_pwr","heat_AG_height","heat_AG_sensor_height","heat_notes","heat_BG_temp_sensor","heat_AG_temp_sensor","soil_moisture_depths","soil_moisture_sensor","flux_mtd","fluxes","heat_BG_date_f.1","sit_name","sit_lat","sit_long","datum","elevation","country","MAT","MAT_refPeriod","MAP","MAP_refPeriod","biome","leafPheno","species","landscape_position","slope","aspect","soil_drainage","soil_texture_class","soil_taxon_sys","soil_taxon","parent_material","site_notes","permafrost","soil_depth","belowground","aboveground"
"11","ForHot","0; 1; 3; 5; 10; 20","year round",NA,"geothermal",NA,NA,NA,NA,NA,NA,"2008",NA,NA,NA,NA,NA,NA,"10; 90",NA,NA,"2; 15; 200","vertical profile temp measurements to 90 cm conducted by hand",NA,NA,"0-5","handheld Theta Probe Model ML3 Delta-T Devices Ltd.",NA,NA,NA,"GN",64.008,-21.178,NA,"125.5",NA,5.2,NA,1457,NA,"grassland",NA,"Agrostis capillaris",NA,NA,NA,NA,"silty loam","WRB","Silandic andisols",NA,"coords are for nearby town; elevation is mean of all three sites",NA,NA,17.5315068493151,NA
"12","FutureClim","4","partial (heating turned off in winter)"," open topped chamber","heating rods","drought","80","% reduction relative to ambient precipitation","2018-10-22","continuing","soil temperature;soil volumetric water content;soil electrical conductivity;relative humidity;air temperature","Nov-22","continuing","Nov-22","continuing",0.15,"0.8",NA,"0.45;0.1",NA,1.3,"0.25",NA,"CS655 Campbell Scientific","HOBO MX2301A","0.45;0.1","CS655 Campbell Scientific","static chamber;nearby eddy covariance","CO2",NA,"Aqueduct",-36.372358,148.431196,NA,"1600","Australia",6.3,"2010-2024",2144,"2010-2024","grassland","evergreen","Poa costiniana;Carex breviculmis;Craspedia aurantia;Hovea montana;Lobelia surrepens;Olearia phlogopappa;Xerochrysum subundulatum","frost hollow shoulder",NA,"S",NA,"clay loam",NA,NA,"igneous intrusive","burned in 2003;local weather station;local flux tower;many other plant and soil datasets","none",NA,2.6986301369863,2.6986301369863
"13","GENX","0; 0.75; 1.5; 2.25; 3.0; 3.75; 4.5; 5.25; 6","year round",NA,"resistance cables",NA,NA,NA,NA,NA,"NTC thermistor; K30, BME680","1/19/2022",NA,NA,NA,NA,"150",NA,"15",NA,NA,NA,NA,"NTC thermistor",NA,NA,NA,"LGR?","CO2; CH4; N2O",NA,"genx",38.88333333,-76.55,"NAD83","0.278",NA,NA,NA,NA,NA,"salt marsh",NA,"need to ask GN?",NA,NA,NA,"saturated",NA,NA,NA,NA,NA,NA,NA,3.48219178082192,NA
"14","HarvardForest","0; 5","year round",NA,"resistance cables",NA,NA,NA,NA,NA,"temperature ","1991",NA,NA,NA,10,NA,77,"5",NA,NA,"200",NA,"Campbell Scientific type 107 thermistor",NA,NA,NA,"chamber","CO2",NA,"Harvard warming",42.54,-72.18,NA,"340",NA,8.2,NA,1141,NA,"temperate forest","deciduous","Acer rubrum; Quercus velutina ",NA,NA,NA,"well-drained",NA,"USDA","Inceptisols Typic Dystrochrept","igneous intrusive","MAT & MAP taken from Gaudinski et al., 2000",NA,NA,34.5315068493151,NA
"15","Hawaii","0;4","year round",NA,"resistance rods",NA,NA,NA,NA,NA,"aboveground temperature;belowground temperature;water table;precipitation;wind speed;wind direction;relative air humidity;net solar radiation;PAR;","2018","2020",NA,NA,NA,"100",NA,"20;40;60;80;100",NA,NA,NA,"heating designed as gradient across plots with maximum of +4C",NA,NA,"20;40;60;80;100",NA,NA,NA,NA,"LyonArb",21.333,-157.8015,"WGS84","150","United States of America",25.6,NA,4200,NA,"tropical forest",NA,NA,NA,18,NA,NA,NA,"USDA","Typic Hapludands","igneous pyroclastic",NA,NA,NA,7.53150684931507,NA
"16","KAEFS","0; 3","year round","infrared","none","clipping; precipitation",NA,NA,"2009",NA,"soil temperature; soil moisture; air temperature",NA,NA,"2009",NA,NA,NA,NA,"7.5",NA,NA,NA,NA,"T type thermocouple Campbell Scientific",NA,"0-12","Time Domain Reflectometry (TDR) Soil Moisture Equipment Corp",NA,NA,NA,"Kessler",34.98333333,-97.51666667,NA,NA,NA,16.3,"1948;1999",914,"1948;1999","grassland",NA,"Ambrosia trifida (C3 forb); Tridens flavus (C4 grass)",NA,NA,NA,"well-drained",NA,"USDA","Udic Haplustolls","sandstone",NA,NA,NA,NA,16.5315068493151
"17","MERIT","0; 1.5; 3.0",NA,"passive dome","resistance cables",NA,NA,NA,NA,NA,"NTC thermistor","4/1/2018",NA,"4/1/2018",NA,NA,"100",NA,"25",NA,NA,"75",NA,"NTC thermistor","NTC thermistor",NA,NA,NA,NA,NA,"PIO",54.5996,8.8184,"NHN",NA,NA,10.2,NA,1047.6,NA,"salt marsh",NA,"Spartina anglica; Salicornia europaea",NA,NA,NA,"saturated",NA,NA,NA,NA,NA,NA,NA,7.28493150684931,7.28493150684931
"18","MERIT","0; 1.5; 3.0",NA,"passive dome","resistance cables",NA,NA,NA,NA,NA,"NTC thermistor","4/1/2018",NA,"4/1/2018",NA,NA,"100",NA,"25",NA,NA,"75",NA,"NTC thermistor","NTC thermistor",NA,NA,NA,NA,NA,"LM",54.5996,8.8184,"NHN",NA,NA,10.2,NA,1047.6,NA,"salt marsh",NA,"Puccinellia maritima; Atriplex portulacoides; Limonium vulgare",NA,NA,NA,"saturated",NA,NA,NA,NA,NA,NA,NA,7.28493150684931,7.28493150684931
"19","MERIT","0; 1.5; 3.0",NA,"passive dome","resistance cables",NA,NA,NA,NA,NA,"NTC thermistor","4/1/2018",NA,"4/1/2018",NA,NA,"100",NA,"25",NA,NA,"75",NA,"NTC thermistor","NTC thermistor",NA,NA,NA,NA,NA,"HM",54.5996,8.8184,"NHN",NA,NA,10.2,NA,1047.6,NA,"salt marsh",NA,"Elymus athericus",NA,NA,NA,"saturated",NA,NA,NA,NA,NA,NA,NA,7.28493150684931,7.28493150684931
"20","PtReyes","0; 4","year-round",NA,"resistance rods; resistance cables",NA,NA,NA,NA,NA,"surface respiration; temperature; moisture; gas well",NA,NA,NA,NA,5,"240",NA,"5; 15; 30; 50; 75; 100",NA,NA,NA,NA,"Omega 44005 thermistor",NA,"10; 30; 50; 90","enviroSCAN capacitance","autochamber; CRDS","CO2",NA,"PtReyes",37.971052,-122.73254,"WGS84","125",NA,12.5,NA,1774,NA,"temperate grassland",NA,"Agros_
Agrotis capillaris; Festuca arundinacea; Holcus lanatus; Poa Pratensis",NA,NA,NA,NA,NA,"WRB","Lixisol","sedimentary-clastics",NA,NA,NA,NA,NA
"21","Sanming","0; 5","year round",NA,"resistance cable","N add","40 kg N ha-1 y-1; 80 kg N ha-1 y-1",NA,NA,NA,"soil temperature; soil moisture","3/1/14",NA,NA,NA,10,NA,NA,"10",NA,NA,NA,NA,"T109 Campbell Scientific",NA,"10","ECH2O-5 Decagon","chamber","CO2",NA,"Chenda",26.33194444,117.6147222,NA,"300",NA,19.1,NA,1750,NA,"subtropical forest",NA,"Cunninghamia spp.",NA,NA,NA,"well drained",NA,"USDA","Oxisol","igneous intrusive (granite)",NA,NA,NA,11.3698630136986,NA
"22","SMARTX","0; 1.7; 3.4; 5.1","year round","infrared heaters","resistance cables","elevated CO2","0; 775",NA,NA,NA,"thermistor; K30; BME680","6/1/2016",NA,"6/1/2016",NA,NA,"150",NA,"20",NA,NA,NA,NA,"type T thermocouple","type T thermocouple",NA,NA,NA,NA,NA,"C3",38.88333333,-76.55,"NAD83","0.268 m",NA,NA,NA,NA,NA,"salt marsh",NA,"Schoenoplectus americanus",NA,NA,NA,"saturated",NA,NA,NA,NA,NA,NA,NA,9.11780821917808,9.11780821917808
"23","SMARTX","0; 1.7; 3.4; 5.1","year round","infrared heaters","resistance cables","elevated CO2","0; 775",NA,NA,NA,"thermistor; K30; BME680","6/1/2016",NA,"6/1/2016",NA,NA,"150",NA,"20",NA,NA,NA,NA,"type T thermocouple","type T thermocouple",NA,NA,NA,NA,NA,"C4",38.88333333,-76.55,"NAD83","0.371 m",NA,NA,NA,NA,NA,"salt marsh",NA,"Spartina patens; Distichlis spicata",NA,NA,NA,"saturated",NA,NA,NA,NA,NA,NA,NA,9.11780821917808,9.11780821917808
"24","SPRUCE","0; 2.25; 4.5; 6.75; 9","year round","hot air","resistance cables; resistance rods","elevated CO2","900 ppm CO2 (+500 ppm)",NA,NA,NA,"air temperature; relative humidity; soil temperature; PAR; short wave solar rad; long wave solar rad; soil moisture","`8/1/2015",NA,NA,NA,NA,"300",NA,"-20; -10; 0; 5; 10; 20; 30; 40; 50; 100; 200",NA,NA,NA,NA,NA,NA,"-20; 0","capacitance/frequency domain sensor 10HS Decagon Devices",NA,NA,NA,"S1",47.50793333,-93.4527,NA,"418",NA,3.3,NA,768,NA,"ombrotrophic peatland","evergreen","Picea mariana; Larix laricina; Sphagnum spp.",NA,NA,NA,"very poorly drained",NA,"USDA","Typic Haplohemist","lacustrine sediment",NA,NA,NA,9.95068493150685,NA
"25","Stillburg","0;4","partial",NA,"resistance cable","eCO2;vegetation",NA,NA,"2001","2009",NA,"2007","2012",NA,NA,0,NA,NA,"-50;-20;5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stillburg",46.76666667,9.866666667,"WGS84","2180","Austria",2.1,NA,1155,NA,"temperate forest","needleleaf","Larix decidua;Pinus uncinata",NA,NA,NA,NA,NA,"WRB","Lithic Cryumbrepts;Typic Cryorthods","metamorphic","MAT & MAP ref period: 1975 to 2012",NA,NA,18.5315068493151,NA
"26","SWAMP","0; 2","growing season (may to september)","IR","resistance rods",NA,NA,NA,NA,NA,"air temperature","4/27/21",NA,"4/27/21",NA,NA,"60",NA,"2.5; 10; 20; 40; 60; 80; 100; 120",NA,150,"10","AG heater sensors placed at 2.5 cm in soil","T-type thermocouples TX-FFRP Shanghai Kaixin Sensor Technology","WZP-231 Xincheng Electric Appliance","10; 20; 40; 60","5TM-EM50 Decagon",NA,NA,NA,"Altun-Qilian",37.5,100.24,NA,"3670",NA,-0.1,NA,364.6,NA,"alpine tundra",NA,"Carex tibetikobresia; Carex kokanica; Carex atrofusca",NA,NA,NA,"poorly drained",NA,"WRB","Cambisols",NA,NA,NA,NA,4.21369863013699,4.21369863013699
"27","SWELTR","0; 4","year round",NA,"resistance cables",NA,NA,NA,NA,NA,NA,"Nov-16",NA,NA,NA,NA,"120",NA,"0-20; 50-70; 100-120",NA,NA,NA,"measured with 20 cm rod","CS655 Reflectometer",NA,NA,NA,"chamber","CO2",NA,"BCI",9.16,-79.85,"WGS84","60",NA,26,NA,2600,NA,"tropical forest",NA,"Anarcardium excelsum; Poulsenia armata",NA,NA,NA,NA,NA,"USDA","Dystric Eutrudepts","igneous extrusive (conglomerate basalt and sandstone)","coordinates and elevation from Posada et al. 2011",NA,NA,8.6986301369863,NA
"28","TEAM","0; 4","year round",NA,"resistance rods; resistance cable",NA,NA,NA,NA,NA,NA,"6/1/2018",NA,NA,NA,5,"120",NA,"5; 10; 20; 30; 40; 60; 100",NA,NA,NA,NA,"Delta-T",NA,"10; 20; 30; 40; 60; 100","Delta-T",NA,NA,NA,"Haibei",37.61666667,101.2,NA,"3200",NA,-0.6,NA,460,NA,"alpine tundra",NA,"Stipa aliena; Helictotrichon tibeticum; Elymus nutans; Festuca rubra; Poa annua; Aster tataricus",NA,NA,NA,NA,NA,"WRB","Mat-Gryic Cambisol",NA,NA,NA,NA,7.11780821917808,NA
"29","TeRaCON","0; 2.5","growing season","infrared heaters","resistance cables","eCO2; N add; precip",NA,NA,"1998; 1998; 2007",NA,NA,"2012",NA,NA,NA,NA,"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cedar Creek",45.401,-93.201,NA,"282",NA,7,NA,660,NA,"grassland",NA,NA,NA,NA,NA,"well-drained",NA,NA,NA,"glacial outwash",NA,NA,NA,13.5315068493151,NA
"30","TRACE",NA,"year round","infrared heaters","none",NA,NA,NA,NA,NA,"air temperature; soil temperature; soil moisture; air humidity; PAR; short and long range radiation; wind speed and direction; rainfall",NA,NA,"10/1/16",NA,NA,NA,NA,"0-10; 20-30; 40-50","15.4",NA,NA,NA,NA,NA,"0-10; 20-30; 40-50",NA,NA,NA,NA,"Luquillo",18.3,-65.83333333,NA,"100",NA,24,NA,3500,NA,"tropical forest",NA,NA,NA,21,NA,NA,NA,"USDA","Ultisols",NA,NA,NA,NA,NA,8.78356164383562
