colName,description,unit,dataType,siteName,plotName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
EC_H6edg_Avg,Bulk electrical conductivity (dS/m) at edge of plot,dS/m,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
Tsoil_H6edg_Avg,Soil temperature in C at edge of plot ,_,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
Perm_H6edg_Avg,Dielectric permitivity at edge of plot,F/m,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
PerAvg_H6edg_Avg,Period average in microseconds at edge of plot,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
VoltR_H6edg_Avg,Voltage ratio at edge of plot,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA








































