colName,description,unit,dataType,siteName,plotName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
Warming,warming treatment,,string,,,,,,,,,,
Precipitation,precipitation treatment,,string,,,,,,,,,,
plotID,plotID,,string,,,,,,,,,,
block,blockID,,string,,,,,,,,,,
year,year of observation,,numeric,,,,,,,,,,
g_m2_y,below ground productivity,,numeric,,,,,estimated from root biomass,,0,0.9,depth,
subplotID,subplotID,,string,,,,,,,,,,
