colName,description,units,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef,notes
date,date,ymd HMS,date,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prain,site level precipitation,m,numeric,NA,NA,NA,NA,NA,NA,NA,NA,measured at eddy flux tower













































