colName,description,units,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef,notes
date,date,ymd HMS,date,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tair,site level air temperature,deg C,numeric,NA,NA,NA,NA,NA,NA,NA,NA,measured at eddy flux tower













































