exp_name,sit_name,sit_lat,sit_long,datum,elevation,MAT,MAP,biome,leafPheno,species,landscape_position,slope,soil_drainage,soil_taxon_sys,soil_taxon,parent_material
GENX,genx,38.88333333,-76.55,NAD83,0.278,,,salt marsh,,need to ask GN?,,,saturated,,,
,,,,,,,,,,,,,,,,












































































































































































