colName,description,unit,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
SAL_D(9),salinity for sensor D at 90 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
TEMP_D(1),temperature for sensor D at 10 cm depth,deg C,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
TEMP_D(2),temperature for sensor D at 20 cm depth,deg C,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
TEMP_D(3),temperature for sensor D at 30 cm depth,deg C,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
TEMP_D(4),temperature for sensor D at 40 cm depth,deg C,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
TEMP_D(5),temperature for sensor D at 50 cm depth,deg C,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
TEMP_D(6),temperature for sensor D at 60 cm depth,deg C,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
TEMP_D(7),temperature for sensor D at 70 cm depth,deg C,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
TEMP_D(8),temperature for sensor D at 80 cm depth,deg C,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
TEMP_D(9),temperature for sensor D at 90 cm depth,deg C,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
VWC_E(1),volumetric water content for sensor E at 10 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
VWC_E(2),volumetric water content for sensor E at 20 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
VWC_E(3),volumetric water content for sensor E at 30 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
VWC_E(4),volumetric water content for sensor E at 40 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
VWC_E(5),volumetric water content for sensor E at 50 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
VWC_E(6),volumetric water content for sensor E at 60 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
VWC_E(7),volumetric water content for sensor E at 70 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
VWC_E(8),volumetric water content for sensor E at 80 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
VWC_E(9),volumetric water content for sensor E at 90 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
SAL_E(1),salinity for sensor E at 10 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
SAL_E(2),salinity for sensor E at 20 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
SAL_E(3),salinity for sensor E at 30 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
SAL_E(4),salinity for sensor E at 40 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
SAL_E(5),salinity for sensor E at 50 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
SAL_E(6),salinity for sensor E at 60 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
SAL_E(7),salinity for sensor E at 70 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
SAL_E(8),salinity for sensor E at 80 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
SAL_E(9),salinity for sensor E at 90 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
TEMP_E(1),temperature for sensor E at 10 cm depth,deg C,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
TEMP_E(2),temperature for sensor E at 20 cm depth,deg C,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
TEMP_E(3),temperature for sensor E at 30 cm depth,deg C,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
TEMP_E(4),temperature for sensor E at 40 cm depth,deg C,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
TEMP_E(5),temperature for sensor E at 50 cm depth,deg C,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
