colName,description,unit,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
SAL_G(5),salinity for sensor G at 50 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
SAL_G(6),salinity for sensor G at 60 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
SAL_G(7),salinity for sensor G at 70 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
SAL_G(8),salinity for sensor G at 80 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
SAL_G(9),salinity for sensor G at 90 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
TEMP_G(1),temperature for sensor G at 10 cm depth,deg C,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
TEMP_G(2),temperature for sensor G at 20 cm depth,deg C,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
TEMP_G(3),temperature for sensor G at 30 cm depth,deg C,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
TEMP_G(4),temperature for sensor G at 40 cm depth,deg C,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
TEMP_G(5),temperature for sensor G at 50 cm depth,deg C,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
TEMP_G(6),temperature for sensor G at 60 cm depth,deg C,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
TEMP_G(7),temperature for sensor G at 70 cm depth,deg C,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
TEMP_G(8),temperature for sensor G at 80 cm depth,deg C,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
TEMP_G(9),temperature for sensor G at 90 cm depth,deg C,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
VWC_H(1),volumetric water content for sensor H at 10 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
VWC_H(2),volumetric water content for sensor H at 20 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
VWC_H(3),volumetric water content for sensor H at 30 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
VWC_H(4),volumetric water content for sensor H at 40 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
VWC_H(5),volumetric water content for sensor H at 50 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
VWC_H(6),volumetric water content for sensor H at 60 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
VWC_H(7),volumetric water content for sensor H at 70 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
VWC_H(8),volumetric water content for sensor H at 80 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
VWC_H(9),volumetric water content for sensor H at 90 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
SAL_H(1),salinity for sensor H at 10 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
SAL_H(2),salinity for sensor H at 20 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
SAL_H(3),salinity for sensor H at 30 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
SAL_H(4),salinity for sensor H at 40 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
SAL_H(5),salinity for sensor H at 50 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
SAL_H(6),salinity for sensor H at 60 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
SAL_H(7),salinity for sensor H at 70 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
SAL_H(8),salinity for sensor H at 80 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
SAL_H(9),salinity for sensor H at 90 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
TEMP_H(1),temperature for sensor H at 10 cm depth,deg C,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
TEMP_H(2),temperature for sensor H at 20 cm depth,deg C,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
TEMP_H(3),temperature for sensor H at 30 cm depth,deg C,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
TEMP_H(4),temperature for sensor H at 40 cm depth,deg C,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
TEMP_H(5),temperature for sensor H at 50 cm depth,deg C,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
TEMP_H(6),temperature for sensor H at 60 cm depth,deg C,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
TEMP_H(7),temperature for sensor H at 70 cm depth,deg C,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
TEMP_H(8),temperature for sensor H at 80 cm depth,deg C,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
TEMP_H(9),temperature for sensor H at 90 cm depth,deg C,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
