colName,description,units,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef,notes
date,date sampled,,date,,,,,,,,,
treat,"treatment (C = heated, H = control)",C;H,string,,,,,,,,,
plt_name,plot name corresponding to plt_name in plot table,,string,,,,,,,,,
depth,sensor depth,,numeric,,,,,,,,mineral organic interface,
data,soil moisture,,numeric,,,,,,,,,





